,team_name,fotmob_id,total_throw_ins,throw_ins_intobox,final_3rd_throw_ins,final_3rd_throw_ins_inbox,upper_quartile_throwing_length,shots_after_throw_ins,goals_after_throw_ins,total_xG,games_played,xG_per_throw_in,throw_ins_per_game,throw_ins_intobox_per_game,ratio_inbox
313,Swansea,10003.0,1117,32.0,250,31.0,21.64,22,2.0,0.809,50,0.0007,22.34,0.64,0.124
314,Swindon,9795.0,1328,131.0,298,117.0,24.88,23,3.0,2.871,47,0.0022,28.255,2.787,0.393
315,Telstar,6414.0,631,73.0,182,70.0,23.08,9,1.0,0.679,34,0.0011,18.559,2.147,0.385
316,Tondela,188163.0,618,66.0,168,64.0,23.802500000000002,18,0.0,1.464,34,0.0024,18.176,1.941,0.381
317,Torino,9804.0,644,60.0,189,59.0,23.044999999999998,11,0.0,1.398,38,0.0022,16.947,1.579,0.312
318,Toronto,56453.0,574,22.0,143,21.0,21.990000000000002,5,0.0,0.825,34,0.0014,16.882,0.647,0.147
319,Tottenham,8586.0,947,121.0,239,119.0,24.479999999999997,21,1.0,1.759,50,0.0019,18.94,2.42,0.498
320,Toulouse,9941.0,538,71.0,134,67.0,26.28,25,3.0,2.105,34,0.0039,15.824,2.088,0.5
321,Trabzonspor,9752.0,642,41.0,178,39.0,21.675,10,0.0,0.425,34,0.0007,18.882,1.206,0.219
322,Tranmere,8313.0,1343,188.0,376,160.0,28.585,28,1.0,1.296,47,0.001,28.574,4.0,0.426
323,Twente,8611.0,714,103.0,174,93.0,26.979999999999997,15,1.0,0.597,34,0.0008,21.0,3.029,0.534
324,Udinese,8600.0,652,70.0,177,64.0,24.6325,8,0.0,0.411,38,0.0006,17.158,1.842,0.362
325,Ulsan HD FC,133896.0,34,0.0,9,0.0,19.4025,0,0.0,0.0,3,0.0,11.333,0.0,0.0
326,Union Berlin,8149.0,699,125.0,229,118.0,24.4,24,3.0,1.669,34,0.0024,20.559,3.676,0.515
327,Union St.Gilloise,7978.0,731,66.0,213,59.0,25.745,22,1.0,2.423,38,0.0033,19.237,1.737,0.277
328,Urawa Red Diamonds,6244.0,50,0.0,8,0.0,19.335,0,0.0,0.0,3,0.0,16.667,0.0,0.0
329,Valencia,10267.0,730,29.0,206,27.0,21.130000000000003,13,3.0,1.498,38,0.0021,19.211,0.763,0.131
330,Vancouver,307691.0,625,50.0,159,49.0,24.28,16,1.0,1.577,39,0.0025,16.026,1.282,0.308
331,Vasco da Gama,10276.0,641,4.0,161,4.0,20.29,12,1.0,0.866,38,0.0014,16.868,0.105,0.025
332,Verona,9876.0,681,103.0,207,96.0,26.35,20,1.0,0.997,38,0.0015,17.921,2.711,0.464
333,Viktoria Plzen,6033.0,179,13.0,48,11.0,23.21,7,1.0,0.34,10,0.0019,17.9,1.3,0.229
334,Villarreal,10205.0,824,72.0,202,71.0,22.755,18,2.0,2.123,46,0.0026,17.913,1.565,0.351
335,Vitoria,7733.0,680,63.0,207,53.0,24.2425,18,0.0,1.211,38,0.0018,17.895,1.658,0.256
336,Vitoria de Guimaraes,7844.0,712,74.0,202,70.0,23.4475,14,0.0,1.205,34,0.0017,20.941,2.176,0.347
337,WBA,8659.0,955,113.0,266,106.0,25.325,29,3.0,2.427,47,0.0025,20.319,2.404,0.398
338,Walsall,10006.0,1307,199.0,372,185.0,27.564999999999998,33,3.0,3.4,47,0.0026,27.809,4.234,0.497
339,Watford,9817.0,998,53.0,246,52.0,20.8875,19,1.0,1.686,47,0.0017,21.234,1.128,0.211
340,Werder Bremen,8697.0,692,22.0,191,22.0,20.8775,11,0.0,0.553,34,0.0008,20.353,0.647,0.115
341,West Ham,8654.0,707,14.0,161,13.0,19.049999999999997,14,0.0,1.9,39,0.0027,18.128,0.359,0.081
342,Westerlo,10001.0,635,60.0,200,56.0,23.47,18,1.0,1.406,30,0.0022,21.167,2.0,0.28
343,Wigan,8528.0,1260,36.0,356,33.0,22.415,22,2.0,2.234,49,0.0018,25.714,0.735,0.093
344,Wolfsburg,8721.0,614,19.0,145,19.0,23.48,13,0.0,0.68,34,0.0011,18.059,0.559,0.131
345,Wolves,8602.0,759,98.0,178,89.0,24.13,15,2.0,0.7,41,0.0009,18.512,2.39,0.5
346,Wrexham,9841.0,1085,21.0,295,17.0,22.64,14,1.0,1.808,50,0.0017,21.7,0.42,0.058
347,Wycombe,8676.0,1258,81.0,330,72.0,24.5075,29,2.0,3.134,50,0.0025,25.16,1.62,0.218
348,Wydad Casablanca,102050.0,48,2.0,8,2.0,22.6325,0,0.0,0.0,3,0.0,16.0,0.667,0.25
349,Young Boys,10192.0,124,6.0,40,6.0,25.2425,2,0.0,0.164,8,0.0013,15.5,0.75,0.15
350,Zenit,8698.0,605,70.0,182,63.0,25.96,15,0.0,1.12,30,0.0019,20.167,2.333,0.346
351,Zulte Waregem,10000.0,610,54.0,168,50.0,23.57,7,0.0,0.47,30,0.0008,20.333,1.8,0.298
